index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,4,,,3,3,,
4,3,,10,,3,,3,
5,,6,11,,,3,3,
6,5,,,,3,,,
7,,8,,,,3,,
8,7,9,,2,3,3,,3
9,8,,15,,3,,3,
10,,11,16,4,,3,3,3
11,10,12,17,5,3,3,3,3
12,11,,,,3,,,
13,,14,19,,,3,3,
14,13,15,20,,3,3,3,
15,14,,,9,3,,,3
16,,17,22,10,,3,3,3
17,16,18,23,11,3,3,3,3
18,17,,24,,3,,3,
19,,,,13,,,,3
20,,21,26,14,,3,3,3
21,20,22,,,3,3,,
22,21,23,28,16,3,3,3,3
23,22,,,17,3,,,3
24,,,,18,,,,3
25,,26,31,,,3,3,
26,25,27,32,20,3,3,3,3
27,26,28,,,3,3,,
28,27,,34,22,3,,3,3
29,,,35,,,,3,
30,,,36,,,,3,
31,,,37,25,,,3,3
32,,,38,26,,,3,3
33,,,39,,,,4,
34,,35,40,28,,3,3,3
35,34,36,,29,3,3,,3
36,35,,42,30,3,,3,3
37,,,,31,,,,3
38,,39,44,32,,3,3,3
39,38,,45,33,3,,3,4
40,,,46,34,,,3,3
41,,42,,,,3,,
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,,,38,3,,,3
45,,46,,39,,3,,3
46,45,,,40,3,,,3
47,,48,,,,3,,
48,47,,,42,3,,,3
